sentences,labels
His face became as black as coal.,1
My uncle is as blind as a bat without his spectacles.,1
Naina was as cool as a cucumber.,1
The soldier was as brave as a lion.,1
He is cunning like a fox.,1
The expression on her face was as cold as ice.,1
My wife is as busy as a bee in the mornings.,1
The hall is as clean as a whistle.,1
My blanket is as soft as velvet!,1
My grandmother's mind is as sharp as a razor.,1
The clothes she wore were as white as snow.,1
Her face became as white as a ghost.,1
You still look as fresh as a daisy after finishing all the work!,1
He is standing as stiff as a board on the stage.,1
She is as proud as a peacock.,1
My grandmother is as gentle as a lamb.,1
She seems to be as bright as a button!,1
He is still as strong as an ox.,1
The weather is as hot as hell!,1
My brother is as tough as leather!,1
Her eyes shined as bright as the moon.,1
You are as thin as a rake.,1
You are as wise as an owl!,1
The lake was as clear as crystal.,1
Her voice is as smooth as silk.,1
That man is as stubborn as a mule.,1
His friends are as silent as the grave.,1
This shawl is as light as a feather!,1
Her grandmother's love story was as old as the hills.,1
He is as straight as an arrow.,1
He is as innocent as a lamb.,1
Love pricks like a thorn.,1
Old Marley was as dead as a door-nail.,1
It dries up like a raisin in the sun. ,1
It festers like a sore.,1
The water sounds like kittens lapping.,1
The pizza stretched like a rubber band.,1
The old truck groaned like an old man.,1
The Honda’s ride is as smooth as a gazelle in the Sahara.,1
Ride comforts like a hug from Grandpa.,1
The almond was as hard as a rock.,1
That knife is as sharp as a razor.,1
She was as sly as a fox.,1
She eats like a pig.,1
She ran like lightning.,1
Jesse is as sly as a fox.,1
My grandmother is as sweet as strawberry jam.,1
That sidewalk is as slippery as glass.,1
I felt as free as a bird.,1
That fence is as solid as a rock.,1
Amber can run as fast as a snowstorm.,1
The road is as straight as an arrow.,1
My mouth was as dry as dust.,1
The night was as black as coal.,1
My grandfather's mind is still as sharp as a tack.,1
She is as kind as an angel.,1
The ghostly figure floated like a wisp of smoke.,1
He is as sick as a dog.,1
It was as big as an elephant .,1
He is as bright as a button.,1
She is as cold as ice.,1
It is as tough as an old boot.,1
The gold shines like the sun.,1
It is as dry as a bone.,1
The car is as clean as a whistle.,1
He looks like a fish out of water.,1
She slept like a log .,1
It was soft like velvet.,1
The chocolate was as smooth as silk.,1
It leaked like a sieve.,1
It cuts like butter.,1
The aeroplane soared like an eagle.,1
The shark's fin cutting through the water was as sharp as a knife through butter.,1
Her cheeks were as red as a rose.,1
My brother and I fight like cats and dogs all the time.,1
Iniyan is always as busy as a bee.,1
My cousin chatters like a monkey.,1
Kitty is as proud as a peacock.,1
Sruthy works like a sloth.,1
My dog eats like a pig.,1
Stephen slept like a baby.,1
The hawk swooped like an arrow shooting from a bow.,1
Bob is as cunning as a fox.,1
The old man's hand was as rough as sandpaper.,1
Those two are as different as night and day.,1
He stood like a sore thumb.,1
That answer is as clear as mud.,1
Grandpa's beard was as white as snow.,1
Grandpa's beard is as soft as a fluffy cotton ball.,1
The mouse is as dead as a doornail.,1
Lois moved like a warship sailing into battle.,1
That baby is as cute as a button!,1
He runs as fast as lightning.,1
She is as sweet as honey.,1
The angel's wings were as white as freshly fallen snow.,1
The syllabus is as vast as the sky.,1
Dirk is as mean as a snake.,1
The mystery was as deep as the ocean.,1
I am as poor as a church mouse.,1
He is hungry like a wolf.,1
She sings like an angel.,1
His woollen scarf hung like a dead skunk.,1
He was as cool as the other side of the pillow.,1
The pages of the old book were as delicate as butterfly wings.,1
The old letter was as yellow as the autumn leaf.,1
The music flowed like a river.,1
He was as lame as a duck.,1
The universe is as infinite as a bottomless well.,1
The network of relationships was as complex as a spider's web.,1
I am as pure as the driven slush.,1
His teeth looked like an unkempt picket fence.,1
The warm blankets were as cozy as a hug.,1
The bed is as warm as womb.,1
The missing piece of the puzzle was as elusive as a needle in a haystack.,1
The rain poured down like a waterfall.,1
Her focus was as sharp as laser.,1
The temple stood as tall as a mountain.,1
Her voice was as annoying as nails.,1
Her hair was as shiny as a mirror.,1
She grew on him like a colony of bacteria.,1
You dance like a cat on a hot tin roof.,1
The dancers moved across the stage like leaves dancing in the wind.,1
I sleep like a baby on my new mattress.,1
My grandma was as tough as nails.,1
The new linebacker is as strong as an ox.,1
The idea was as bright as a shining star.,1
Your niece swims like a fish!,1
That teacher speaks like a foghorn.,1
I ran like the wind to catch the bus.,1
The youngest kid climbs like a monkey.,1
They fought like cats and dogs.,1
This dress fits like a glove.,1
He sat there like a bump on a log.,1
You shine like a diamond.,1
I worked like a dog until the project was done.,1
The balloon rose up into the sky like a bird taking flight.,1
Your voice sounds like nails on a chalkboard.,1
Karly sings like an angel.,1
The bad news hit me like a ton of bricks.,1
The passing of the year was as fast as a shooting star.,1
The project was complex like a jigsaw puzzle.,1
Baby's face is as pure as the morning dew.,1
The little boy was as happy as a clam at the theme park.,1
Her request was as bold as brass.,1
I was as snug as a bug in a rug in my new quilt.,1
The cow's eyes were as big as saucers.,1
You are as white as a ghost.,1
You are as sweet as sugar.,1
The lion's roar was as loud as thunder.,1
The old abandoned house was as quiet as a tomb.,1
Finding flaws in his argument was as easy as shooting fish in a barrel.,1
The elephant was as big as a house.,1
My throat is as dry as a desert.,1
The rabbit was as fast as a speeding bullet.,1
That guy is as nutty as a fruitcake.,1
The snake slithered through the grass like a ribbon dancing in the wind.,1
The dog's bark was as loud as a thunderclap.,1
The flame of the candle flickered like a dancer.,1
The ice was as cold as a block of solid nitrogen.,1
You are as steady as a preacher.,1
The bird is as free as a weed.,1
She is as innocent as an angel.,1
My literature teacher was as wise as an owl.,1
The cracked earth was as dry as sandpaper.,1
"Suddenly, lightning forked in the sky like fluorescent veins.",1
Thunder roared like an angry lion.,1
The pearl was as luminous as the full moon in the night sky.,1
The hills rise up like giant waves of ocean.,1
Space is endless like an ocean.,1
Baby was as snug as a bug in a rug.,1
He sat as still as a mouse.,1
The queen's beauty was as radiant as the sun.,1
The silence in the library was as thick as fog.,1
The axe sliced through the wood like a hot knife through butter.,1
The eagle's cry echoed through the mountains like a trumpet.,1
The morning was as serene as a still lake.,1
The winter wind howled like a pack of wolves in the night.,1
The mouse was as quick as lightning.,1
We are beautiful like diamonds in the sky.,1
The police officer moved through the crowd like a shark through the water.,1
It stinks like rotten meat.,1
Her smile was as sweet as sugar.,1
The storm raged on like an angry beast.,1
The athlete's muscles were as taut as steel cables.,1
The forest was as quiet as a mouse.,1
The teacher's voice was as monotone as a robot.,1
The flowers were as colorful as a rainbow.,1
The smell of freshly-baked bread was as inviting as a warm hug.,1
"The moon was as bright as a spotlight, illuminating the path ahead.",1
Her laughter was as contagious as a yawn.,1
The book was as heavy as a brick.,1
The athlete's movements were as graceful as a swan.,1
You are as cuddly as a cactus.,1
You are as charming as an eel.,1
The old man's voice was as shaky as a leaf.,1
The storm clouds were as black as coal.,1
The child's curiosity was as boundless as the ocean.,1
The trees swayed in the wind like dancers.,1
The leaves rustled like whispers.,1
The butterfly flitted from flower to flower like a ballerina.,1
Parents support their children like the roots of a tree.,1
The address guided like a roadmap.,1
The classroom was as quiet as a library.,1
The sky was as blue as the ocean.,1
His smile shone like pure gold.,1
His anger exploded like a volcano.,1
He is as smart as a whip.,1
The pen glided across the page like a figure skater.,1
The farm was as busy as a beehive.,1
His words pierced like daggers.,1
The glass was as fragile as an eggshell.,1
The party was energetic like a carnival.,1
Her voice was as sweet as honey.,1
He is as skinny as a rail.,1
The weather was hot like a blazing oven.,1
His eyes are green like jade.,1
The sun was as bright as a ray of light.,1
He was as happy as a child.,1
Laughter heals like a medicine.,1
The sound of the guitar was as sweet as honey.,1
The garden is as peaceful as heaven.,1
He is as coward as an rabbit.,1
Thoughts are drifting like clouds.,1
The city was buzzing like a beehive.,1
My dream was thrilling like a rollercoaster.,1
The mind flows like a river.,1
God is generous like the sun.,1
The cat's eyes gleamed in the darkness like diamonds.,1
The cat was as curious as a child.,1
He was as hungry as a bear coming out of hibernation.,1
He was as sly as a fox.,1
His stomach growled like a lion's roar.,1
She was as cold as ice.,1
He was as starved as a prisoner.,1
The rain fell like a symphony.,1
His voice sounded like warm honey.,1
The raindrops were as heavy as stones.,1
The smile on her face is as big as Texas.,1
His face was as still as a statue.,1
The girl's face was as smooth as silk.,1
Her face lit up like a Christmas tree.,1
The leaves of the tree rustled like whispers in the breeze.,1
The trunk of the tree was as thick as a giant's arm.,1
The tree's roots spread out like a spiderweb.,1
The soil was as dark as a moonless night.,1
Her eyes were as blue as the ocean.,1
His hair were red like fire.,1
The sky was stormy like an angry sea.,1
The earthy scent of the soil wafted up to my nose like freshly baked bread.,1
The soil was as dry as a bone.,1
The soil was soaking like a sponge.,1
I am as tall as giraffe.,1
Her bones were as strong as steel.,1
Sara is as slow as a tortoise.,1
He is as brave as a lion.,1
Tom is heavenly like an angel.,1
They were as brave as a lion.,1
The old man's bones creaked like an old wooden staircase.,1
The athlete's bones were as light as feathers.,1
Our soldiers are as strong as an ox.,1
The day is as bright as the sun.,1
Her mind is as cool as a cucumber.,1
Mother nurtures like a tree.,1
He is as mad as a hatter.,1
This fabric is as light as a feather.,1
His throat was as dry as bone.,1
He was as fresh as a flower.,1
The sand dunes rolled like waves in the ocean.,1
He runs like a horse.,1
Alice is cute like a doll.,1
My sister is as quick as the wind.,1
The heat in the desert was as intense as a blazing inferno.,1
My classmates are caring like my siblings.,1
I will be as sad as a rainy day.,1
This year was as along as a highway.,1
The Honda’s ride is as smooth as fish in the water.,1
The silence of the desert was as profound as a library at midnight.,1
The landscape stretched out like an endless sea of sand and sky.,1
The internet is vast like ocean.,1
Her skin is as smooth as monumental alabaster.,1
His biceps were as bulky as tree trunks.,1
Her abs rippled like waves on the ocean.,1
His trapezius muscles were as taut as steel cables.,1
The athlete's quads were as strong as an ox's.,1
Her deltoids bulged like mountains.,1
Scoring a goal in soccer is as satisfying as hitting a home run in baseball.,1
The music is as sweet as honey.,1
The coffee is as hot as fire.,1
She is as light as a feather.,1
He is as tough as nails.,1
The exam was as difficult as climbing a mountain.,1
The dog is as loyal as a soldier.,1
The party was as wild as a rodeo.,1
The movie was as boring as watching paint dry.,1
She is as tough as steel.,1
The car is as fast as a bullet.,1
The cake is as soft as a cloud.,1
The dress is as pretty as a picture.,1
The soup is as hot as the sun.,1
The weather is as nice as a summer day.,1
The water is as clear as glass.,1
The ice cream is as cold as winter.,1
He is as funny as a clown.,1
The book is as interesting as a mystery.,1
The teacher is as strict as a drill sergeant.,1
The puppy is as cute as a button.,1
The game was as exciting as a roller coaster.,1
He is as honest as a saint.,1
The flowers are as fragrant as a rose.,1
The dress is as elegant as a ball gown.,1
He is as fast as a cheetah.,1
The flowers are as colorful as a rainbow.,1
She is as graceful as a swan.,1
The book was as dry as dust.,1
She is as fierce as a lion.,1
He is as smart as a fox.,1
The soup is as hot as lava.,1
She is as adventurous as a pirate.,1
He is as stubborn as a donkey.,1
She is as elegant as a ballerina.,1
He is as tall as a giant.,1
The game was as exciting as a roller coaster.,1
She is as mysterious as a cat.,1
He is as loyal as a dog.,1
The concert was as loud as thunder.,1
She is as tough as a rock.,1
He is as agile as a monkey.,1
She is as pretty as a picture.,1
The food is as spicy as a volcano.,1
She is as charming as a prince.,1
He is as reliable as a Swiss clock.,1
The work is as tedious as watching grass grow.,1
She is as sweet as candy.,1
He is as strong as steel.,1
She is as innocent as a child.,1
He is as sharp as a knife.,1
The weather is as nice as a summer day.,1
She is as radiant as the sun.,1
He is as humble as a monk.,1
The music is as soothing as a lullaby.,1
She is as powerful as a goddess.,1
The view is as breathtaking as a mountain.,1
She is as patient as a saint.,1
He is as fearless as a lion.,1
The wine is as smooth as silk.,1
She is as elegant as a swan.,1
The flowers are as beautiful as a dream.,1
She is as fast as a bullet.,1
She is as light as a feather.,1
He is as tough as a bull.,1
The dog is as friendly as a teddy bear.,1
She is as determined as a bulldog.,1
He is as cool as a cucumber.,1
The cake is as fluffy as a cloud.,1
The car is as shiny as a new penny.,1
She is as impatient as a child.,1
He is as hardworking as an ant.,1
The book is as thick as a brick.,1
She is as creative as an artist.,1
He is as disciplined as a soldier.,1
The weather is as unpredictable as a rollercoaster.,1
She is as ambitious as a shark.,1
He is as adventurous as a explorer.,1
The room is as stuffy as a sauna.,1
She is as honest as a politician.,1
He is as careful as a cat.,1
The life is as unpredictable as a game of chess.,1
She is as charming as a snake.,1
He is as healthy as a horse.,1
The road was as bumpy as a rollercoaster.,1
She is as radiant as a star.,1
He is as determined as a marathon runner.,1
The dress is as flowy as a waterfall.,1
He is as hard as a diamond.,1
The journey was as long as a marathon.,1
She is as flexible as a gymnast.,1
He is as great as a legend.,1
The soup is as thick as a stew.,1
She is as committed as a soldier.,1
He is as heavy as a ton.,1
